element_num,depth,attributes,parent_num
0,0,"bounds=[0,0][0,0]",
1,1,"accessibilityText=GROMO; bounds=[0,0][956,440]; enabled=true; enabled=true",0
2,2,"bounds=[0,0][956,440]; enabled=true; enabled=true",1
3,3,"bounds=[0,0][956,440]; enabled=true; enabled=true",2
4,4,"bounds=[0,0][956,440]; enabled=true; enabled=true",3
5,5,"bounds=[0,0][956,440]; enabled=true; enabled=true",4
6,6,"bounds=[0,0][956,440]; enabled=true; enabled=true",5
7,7,"bounds=[0,0][956,440]; enabled=true; enabled=true",6
8,8,"bounds=[0,0][956,440]; enabled=true; enabled=true",7
9,9,"bounds=[0,0][956,440]; enabled=true; enabled=true",8
10,10,"bounds=[0,0][956,440]; enabled=true; enabled=true",9
41,11,"bounds=[0,0][956,440]; enabled=true; enabled=true",10
42,12,"bounds=[0,0][956,440]; enabled=true; enabled=true",41
42,11,"bounds=[0,0][956,440]; enabled=true; enabled=true",10
14,11,"bounds=[354,0][956,440]; enabled=true; enabled=true",10
15,11,"bounds=[294,14][370,90]; enabled=true; enabled=true",10
16,12,"bounds=[294,14][370,90]; enabled=true; enabled=true",15
17,13,"bounds=[303,23][361,81]; enabled=true; enabled=true",16
18,14,"bounds=[303,23][361,81]; enabled=true; enabled=true",17
19,11,"accessibilityText=내 뗏목; bounds=[382,20][840,46]; enabled=true; enabled=true",10
20,12,"accessibilityText=내 뗏목; bounds=[382,20][840,46]; enabled=true; enabled=true",19
21,11,"accessibilityText=닫기; bounds=[846,16][880,50]; enabled=true; enabled=true",10
22,11,"resource-id=island-sheet-content-clip; bounds=[356,64][956,440]; enabled=true; enabled=true",10
23,12,"bounds=[356,64][956,440]; enabled=true; enabled=true",22
24,13,"bounds=[356,64][956,440]; enabled=true; enabled=true",23
25,14,"bounds=[356,-21][956,440]; enabled=true; enabled=true",24
26,15,"bounds=[356,-21][956,440]; enabled=true; enabled=true",25
27,16,"accessibilityText=현재 내 메인 섬 소다 섬; bounds=[378,-15][872,148]; enabled=true; enabled=true",26
28,16,"bounds=[378,160][872,418]; enabled=true; enabled=true",26
29,17,"bounds=[378,160][872,418]; enabled=true; enabled=true",28
30,18,"accessibilityText=보유품 꾸미기, 옷 · 장신구; bounds=[380,162][870,224]; enabled=true; enabled=true",29
31,18,"accessibilityText=친구 관리, 친구 찾기 · 요청 · 친구 목록; bounds=[380,225][870,288]; enabled=true; enabled=true",29
32,18,"accessibilityText=내 정보, 닉네임 · 털색 · 계정; bounds=[380,288][870,352]; enabled=true; enabled=true",29
33,18,"accessibilityText=앱 설정, 알림 · 소리 · 앱 권한 · 튜토리얼 다시보기; bounds=[380,352][870,416]; enabled=true; enabled=true",29
36,14,"accessibilityText=Horizontal scroll bar, 1 page; value=0%; text=0%; bounds=[356,387][894,417]; enabled=true; enabled=true",24
37,15,"bounds=[359,414][888,417]; enabled=true; enabled=true",36
36,14,"accessibilityText=Horizontal scroll bar, 1 page; value=0%; text=0%; bounds=[356,387][894,417]; enabled=true; enabled=true",24
37,15,"bounds=[359,414][888,417]; enabled=true; enabled=true",36
38,10,"bounds=[8,8][48,36]; enabled=true; enabled=true",9
39,11,"accessibilityText=QA route menu; resource-id=gromo-2057-open-route-picker; bounds=[8,8][48,36]; enabled=true; enabled=true",38
40,8,"bounds=[0,0][956,440]; enabled=true; enabled=true",7
41,9,"bounds=[0,0][956,440]; enabled=true; enabled=true",40
42,10,"bounds=[0,0][956,440]; enabled=true; enabled=true",41
43,1,"bounds=[0,0][0,0]",0
44,2,"bounds=[0,0][440,54]; enabled=true; enabled=true",43
45,2,"bounds=[440,0][440,956]; enabled=true; enabled=true",43
