element_num,depth,attributes,parent_num
0,0,"bounds=[0,0][0,0]",
1,1,"accessibilityText=GROMO; bounds=[0,0][956,440]; enabled=true; enabled=true",0
2,2,"bounds=[0,0][956,440]; enabled=true; enabled=true",1
3,3,"bounds=[0,0][956,440]; enabled=true; enabled=true",2
4,4,"bounds=[0,0][956,440]; enabled=true; enabled=true",3
5,5,"bounds=[0,0][956,440]; enabled=true; enabled=true",4
6,6,"bounds=[0,0][956,440]; enabled=true; enabled=true",5
7,7,"bounds=[0,0][956,440]; enabled=true; enabled=true",6
8,8,"bounds=[0,0][956,440]; enabled=true; enabled=true",7
9,9,"bounds=[0,0][956,440]; enabled=true; enabled=true",8
10,10,"bounds=[0,0][956,440]; enabled=true; enabled=true",9
58,11,"bounds=[0,0][956,440]; enabled=true; enabled=true",10
59,12,"bounds=[0,0][956,440]; enabled=true; enabled=true",58
59,11,"bounds=[0,0][956,440]; enabled=true; enabled=true",10
14,11,"bounds=[354,0][956,440]; enabled=true; enabled=true",10
15,11,"bounds=[294,14][370,90]; enabled=true; enabled=true",10
16,12,"bounds=[294,14][370,90]; enabled=true; enabled=true",15
17,13,"bounds=[306,26][358,78]; enabled=true; enabled=true",16
18,14,"bounds=[306,26][358,78]; enabled=true; enabled=true",17
19,11,"accessibilityText=뒤로; bounds=[372,16][406,50]; enabled=true; enabled=true",10
20,11,"accessibilityText=내 정보; bounds=[412,20][802,46]; enabled=true; enabled=true",10
21,12,"accessibilityText=내 정보; bounds=[412,20][802,46]; enabled=true; enabled=true",20
22,11,"accessibilityText=저장; bounds=[808,17][840,49]; enabled=true; enabled=true",10
23,11,"accessibilityText=닫기; bounds=[846,16][880,50]; enabled=true; enabled=true",10
24,11,"resource-id=island-sheet-content-clip; bounds=[356,64][956,440]; enabled=true; enabled=true",10
25,12,"bounds=[356,64][956,440]; enabled=true; enabled=true",24
26,13,"bounds=[356,64][956,440]; enabled=true; enabled=true",25
27,14,"bounds=[356,-51][956,440]; enabled=true; enabled=true",26
28,15,"bounds=[356,-51][956,440]; enabled=true; enabled=true",27
29,16,"bounds=[577,-45][673,50]; enabled=true; enabled=true",28
30,17,"bounds=[578,-44][671,48]; enabled=true; enabled=true",29
31,16,"accessibilityText=검정; bounds=[378,62][455,138]; enabled=true; selected=true; enabled=true; selected=true",28
32,16,"accessibilityText=치즈; bounds=[461,62][538,138]; enabled=true; enabled=true",28
33,16,"accessibilityText=크림; bounds=[544,62][622,138]; enabled=true; enabled=true",28
34,16,"accessibilityText=회색; bounds=[628,62][705,138]; enabled=true; enabled=true",28
35,16,"accessibilityText=흰색; bounds=[711,62][788,138]; enabled=true; enabled=true",28
36,16,"accessibilityText=삼색; bounds=[794,62][871,138]; enabled=true; enabled=true",28
37,16,"accessibilityText=닉네임; bounds=[378,150][872,169]; enabled=true; enabled=true",28
38,17,"accessibilityText=닉네임; bounds=[378,150][872,169]; enabled=true; enabled=true",37
39,16,"bounds=[378,175][872,225]; enabled=true; enabled=true",28
40,17,"accessibilityText=닉네임; value=수빈; text=수빈; resource-id=field-닉네임; bounds=[380,177][870,223]; enabled=true; enabled=true",39
41,16,"bounds=[378,237][872,362]; enabled=true; enabled=true",28
42,17,"bounds=[378,237][872,362]; enabled=true; enabled=true",41
43,18,"bounds=[380,239][870,302]; enabled=true; enabled=true",42
44,18,"accessibilityText=연동 계정; bounds=[394,250][856,271]; enabled=true; enabled=true",42
45,19,"accessibilityText=연동 계정; bounds=[394,250][856,271]; enabled=true; enabled=true",44
46,18,"accessibilityText=수빈님의 GROMO 계정 · Apple; bounds=[394,273][856,291]; enabled=true; enabled=true",42
47,19,"accessibilityText=수빈님의 GROMO 계정 · Apple; bounds=[394,273][856,291]; enabled=true; enabled=true",46
48,18,"accessibilityText=로그아웃; bounds=[380,302][870,360]; enabled=true; enabled=true",42
49,16,"bounds=[575,374][674,418]; enabled=true; enabled=true",28
50,17,"accessibilityText=회원 탈퇴; bounds=[575,374][674,418]; enabled=true; enabled=true",49
53,14,"accessibilityText=Horizontal scroll bar, 1 page; value=0%; text=0%; bounds=[356,387][894,417]; enabled=true; enabled=true",26
54,15,"bounds=[359,414][888,417]; enabled=true; enabled=true",53
53,14,"accessibilityText=Horizontal scroll bar, 1 page; value=0%; text=0%; bounds=[356,387][894,417]; enabled=true; enabled=true",26
54,15,"bounds=[359,414][888,417]; enabled=true; enabled=true",53
55,10,"bounds=[8,8][48,36]; enabled=true; enabled=true",9
56,11,"accessibilityText=QA route menu; resource-id=gromo-2057-open-route-picker; bounds=[8,8][48,36]; enabled=true; enabled=true",55
57,8,"bounds=[0,0][956,440]; enabled=true; enabled=true",7
58,9,"bounds=[0,0][956,440]; enabled=true; enabled=true",57
59,10,"bounds=[0,0][956,440]; enabled=true; enabled=true",58
60,1,"bounds=[0,0][0,0]",0
61,2,"bounds=[0,0][440,54]; enabled=true; enabled=true",60
62,2,"bounds=[440,0][440,956]; enabled=true; enabled=true",60
