element_num,depth,attributes,parent_num
0,0,"bounds=[0,0][0,0]",
1,1,"accessibilityText=GROMO; bounds=[0,0][874,402]; enabled=true; enabled=true",0
2,2,"bounds=[0,0][874,402]; enabled=true; enabled=true",1
3,3,"bounds=[0,0][874,402]; enabled=true; enabled=true",2
4,4,"bounds=[0,0][874,402]; enabled=true; enabled=true",3
5,5,"bounds=[0,0][874,402]; enabled=true; enabled=true",4
6,6,"bounds=[0,0][874,402]; enabled=true; enabled=true",5
7,7,"bounds=[0,0][874,402]; enabled=true; enabled=true",6
8,8,"bounds=[0,0][874,402]; enabled=true; enabled=true",7
9,9,"bounds=[0,0][874,402]; enabled=true; enabled=true",8
10,10,"bounds=[0,0][874,402]; enabled=true; enabled=true",9
58,11,"bounds=[0,0][874,402]; enabled=true; enabled=true",10
59,12,"bounds=[0,0][874,402]; enabled=true; enabled=true",58
59,11,"bounds=[0,0][874,402]; enabled=true; enabled=true",10
14,11,"bounds=[272,0][874,402]; enabled=true; enabled=true",10
15,11,"bounds=[212,14][288,90]; enabled=true; enabled=true",10
16,12,"bounds=[212,14][288,90]; enabled=true; enabled=true",15
17,13,"bounds=[224,26][276,78]; enabled=true; enabled=true",16
18,14,"bounds=[224,26][276,78]; enabled=true; enabled=true",17
19,11,"accessibilityText=뒤로; bounds=[290,16][324,50]; enabled=true; enabled=true",10
20,11,"accessibilityText=내 정보; bounds=[330,20][720,46]; enabled=true; enabled=true",10
21,12,"accessibilityText=내 정보; bounds=[330,20][720,46]; enabled=true; enabled=true",20
22,11,"accessibilityText=저장; bounds=[726,17][758,49]; enabled=true; enabled=true",10
23,11,"accessibilityText=닫기; bounds=[764,16][798,50]; enabled=true; enabled=true",10
24,11,"resource-id=island-sheet-content-clip; bounds=[274,64][874,402]; enabled=true; enabled=true",10
25,12,"bounds=[274,64][874,402]; enabled=true; enabled=true",24
26,13,"bounds=[274,64][874,402]; enabled=true; enabled=true",25
27,14,"bounds=[274,-89][874,402]; enabled=true; enabled=true",26
28,15,"bounds=[274,-89][874,402]; enabled=true; enabled=true",27
29,16,"bounds=[495,-83][591,12]; enabled=true; enabled=true",28
30,17,"bounds=[496,-82][589,10]; enabled=true; enabled=true",29
31,16,"accessibilityText=검정; bounds=[296,24][373,100]; enabled=true; selected=true; enabled=true; selected=true",28
32,16,"accessibilityText=치즈; bounds=[379,24][456,100]; enabled=true; enabled=true",28
33,16,"accessibilityText=크림; bounds=[462,24][540,100]; enabled=true; enabled=true",28
34,16,"accessibilityText=회색; bounds=[546,24][623,100]; enabled=true; enabled=true",28
35,16,"accessibilityText=흰색; bounds=[629,24][706,100]; enabled=true; enabled=true",28
36,16,"accessibilityText=삼색; bounds=[712,24][789,100]; enabled=true; enabled=true",28
37,16,"accessibilityText=닉네임; bounds=[296,112][790,131]; enabled=true; enabled=true",28
38,17,"accessibilityText=닉네임; bounds=[296,112][790,131]; enabled=true; enabled=true",37
39,16,"bounds=[296,137][790,187]; enabled=true; enabled=true",28
40,17,"accessibilityText=닉네임; value=수빈; text=수빈; resource-id=field-닉네임; bounds=[298,139][788,185]; enabled=true; enabled=true",39
41,16,"bounds=[296,199][790,324]; enabled=true; enabled=true",28
42,17,"bounds=[296,199][790,324]; enabled=true; enabled=true",41
43,18,"bounds=[298,201][788,264]; enabled=true; enabled=true",42
44,18,"accessibilityText=연동 계정; bounds=[312,212][774,233]; enabled=true; enabled=true",42
45,19,"accessibilityText=연동 계정; bounds=[312,212][774,233]; enabled=true; enabled=true",44
46,18,"accessibilityText=수빈님의 GROMO 계정 · Apple; bounds=[312,235][774,252]; enabled=true; enabled=true",42
47,19,"accessibilityText=수빈님의 GROMO 계정 · Apple; bounds=[312,235][774,252]; enabled=true; enabled=true",46
48,18,"accessibilityText=로그아웃; bounds=[298,264][788,322]; enabled=true; enabled=true",42
49,16,"bounds=[493,336][592,380]; enabled=true; enabled=true",28
50,17,"accessibilityText=회원 탈퇴; bounds=[493,336][592,380]; enabled=true; enabled=true",49
53,14,"accessibilityText=Horizontal scroll bar, 1 page; value=0%; text=0%; bounds=[274,349][812,379]; enabled=true; enabled=true",26
54,15,"bounds=[277,376][806,379]; enabled=true; enabled=true",53
53,14,"accessibilityText=Horizontal scroll bar, 1 page; value=0%; text=0%; bounds=[274,349][812,379]; enabled=true; enabled=true",26
54,15,"bounds=[277,376][806,379]; enabled=true; enabled=true",53
55,10,"bounds=[8,8][48,36]; enabled=true; enabled=true",9
56,11,"accessibilityText=QA route menu; resource-id=gromo-2057-open-route-picker; bounds=[8,8][48,36]; enabled=true; enabled=true",55
57,8,"bounds=[0,0][874,402]; enabled=true; enabled=true",7
58,9,"bounds=[0,0][874,402]; enabled=true; enabled=true",57
59,10,"bounds=[0,0][874,402]; enabled=true; enabled=true",58
60,1,"bounds=[0,0][0,0]",0
61,2,"bounds=[0,0][402,54]; enabled=true; enabled=true",60
62,2,"bounds=[402,0][402,874]; enabled=true; enabled=true",60
