calls,mean_ms,total_ms,rows,hit_pct,query
756,1.5,1098,756,100.0,SELECT pg_database_size($1)
126,6.3,795,4788,100.0,"SELECT
		current_database() datname,
		schemaname,
		relname,
		seq_scan,
		seq_tup_read,
		idx_scan,
		idx_tup_fetch,
	"
203,2.2,453,203,,"SELECT setting, current_timestamp FROM pg_catalog.pg_settings WHERE name = $1"
126,3.3,413,45108,,"SELECT name, setting, COALESCE(unit, $1), short_desc, vartype FROM pg_settings WHERE vartype IN ($2, $3, $4) AND name !="
21,14.4,302,21,100.0,"SELECT default_version, installed_version FROM pg_catalog.pg_available_extensions WHERE name = $1"
21,8.9,188,126,100.0,"SELECT d.datname, pg_catalog.pg_database_size(d.datname), current_timestamp FROM pg_catalog.pg_database d ORDER BY d.dat"
126,1.1,138,6804,100.0,"SELECT 
		  pg_database.datname as datname,
		  tmp.mode as mode,
		  COALESCE(count, $1) as count 
		FROM 
		  (
		    "
126,0.9,115,126,,"SELECT
			COUNT(*) AS segments,
			SUM(size) AS size
		FROM pg_ls_waldir()
		WHERE name ~ $1"
126,0.9,110,4788,100.0,"SELECT
		current_database() datname,
		schemaname,
		relname,
		heap_blks_read,
		heap_blks_hit,
		idx_blks_read,
		idx_"
21,3.1,64,21,,"SELECT
	(SELECT setting=$1 FROM pg_catalog.pg_settings WHERE name=$2) AND
	(SELECT setting=$3 FROM pg_catalog.pg_setting"
126,0.3,41,4542,100.0,"SELECT
				pg_database.datname,
				tmp.state,
				tmp2.usename,
				tmp2.application_name,
				COALESCE(count,$1) as co"
31,1.3,39,31,,SELECT setting AS max_autovacuum_workers from pg_catalog.pg_settings WHERE name=$1
10,2.6,26,10,,select (select setting=$1 from pg_catalog.pg_settings where name=$2) AND (select setting=$3 from pg_catalog.pg_settings 
21,1.2,25,21,100.0,"SELECT
			COALESCE(sum(psat.n_tup_upd), $1) AS total_update_count,
			COALESCE(sum(psat.n_tup_hot_upd), $2) AS hot_updat"
126,0.2,24,882,100.0,"SELECT datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_"
21,1.0,21,21,100.0,"SELECT
			COALESCE(sum(psat.n_tup_upd), $1) AS total_update_count,
			COALESCE(sum(psat.n_tup_hot_upd), $2) AS hot_updat"
21,0.9,19,21,100.0,"SELECT
    sum(psat.autovacuum_count) AS total_autovacuum_count,
    sum(psat.autoanalyze_count) AS total_autoanalyze_co"
21,0.9,19,21,100.0,"SELECT
    sum(psat.autovacuum_count) AS total_autovacuum_count,
    sum(psat.autoanalyze_count) AS total_autoanalyze_co"
21,0.8,16,21,100.0,"SELECT
    sum(psat.autovacuum_count) AS total_autovacuum_count,
    sum(psat.autoanalyze_count) AS total_autoanalyze_co"
21,0.8,16,21,100.0,"SELECT
			COALESCE(sum(psat.n_tup_upd), $1) AS total_update_count,
			COALESCE(sum(psat.n_tup_hot_upd), $2) AS hot_updat"
